disease,subtype,species,population,source,external_id,occurred_at,admin_level_1,admin_level_2,admin_level_3,latitude,longitude,cases,deaths,susceptible,distance_km,relevance_score,priority
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-h9v32,2026-04-29,Lubelskie,Łęczna,Ludwin,51.371953,22.955064,1.0,1.0,,1227.18,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-nwpa9,2026-04-29,Panevezio,Panevėžio,,55.739532,24.039796,4.0,4.0,,1504.44,,
Rabies virus (Inf. with),RABV,Nyctereutes procyonoides,wild,adis,PL-RABIES-2026-sf02x,2026-04-29,Podlaskie,Białystok (City),Białystok,,,1.0,0.0,1.0,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-t4iuf,2026-04-29,Panevezio,Panevėžio,,55.731256,24.045312,5.0,5.0,,1504.22,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-8o4m2,2026-04-29,Panevezio,Panevėžio,,55.656053,24.142267,1.0,1.0,,1504.71,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-5avqz,2026-04-29,Panevezio,Panevėžio,,55.680658,24.046066,1.0,1.0,,1501.16,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-g9m9e,2026-04-29,Panevezio,Panevėžio,,55.655809,24.18799,1.0,1.0,,1507.1,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-j9z1d,2026-04-29,Panevezio,Panevėžio,,55.644183,24.171961,1.0,1.0,,1505.55,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-fp6fk,2026-04-29,Panevezio,Panevėžio,,55.623415,24.168195,1.0,1.0,,1504.1,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-slpdi,2026-04-29,Utenos,Anykščių,,55.538435,24.678258,4.0,4.0,,1526.19,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-wkojn,2026-04-29,Utenos,Anykščių,,55.597102,24.747602,1.0,1.0,,1533.32,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,NO-HPAI(NON-P)-2026-pl886,2026-04-29,Troms - Romsa - Tromssa,Tromsø,,69.601,18.81192,1.0,1.0,,2594.99,,
A.S.F. in domestic pigs,,Swine,,adis,RO-ASF-2026-ji09i,2026-04-29,Mureș,Santana De Mures,,46.600221,24.521227,13.0,5.0,13.0,1298.26,,
Rabies virus (Inf. with),RABV,Dogs,,adis,RO-RABIES-2026-p09xj,2026-04-29,Maramureș,Farcasa,,47.600476,23.353612,1.0,1.0,3.0,1200.12,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep,,adis,GR-FMD-2026-yj8db,2026-04-29,Lesvos,Lesvos,,39.118523,25.970363,94.0,0.0,500.0,1732.79,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep,,adis,GR-FMD-2026-6s0oj,2026-04-29,Lesvos,Lesvos,,39.133458,25.971409,92.0,0.0,450.0,1731.88,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep/goats (mixed herd),,adis,GR-FMD-2026-kvoh4,2026-04-29,Lesvos,Lesvos,,39.266019,26.313866,0.0,0.0,7.0,1747.22,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep,,adis,GR-FMD-2026-qv9z5,2026-04-29,Lesvos,Lesvos,,39.111618,25.981465,94.0,0.0,509.0,1734.02,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-rszgd,2026-04-29,Hessen,Bergstraße,Lampertheim,49.61,8.48,1.0,1.0,,305.7,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-2thzz,2026-04-29,Hessen,Bergstraße,Einhausen,49.69,8.53,1.0,1.0,,315.22,,
A.S.F. in wild boar,,,wild,adis,SK-ASF-2026-xxlmc,2026-04-29,Banskobystrický,Velký Krtíš,,,,,1.0,1.0,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,RO-ASF-2026-pcya6,2026-04-29,Mureș,Livezeni,,46.523348,24.626005,2.0,2.0,,1307.4,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,RO-ASF-2026-zznrb,2026-04-29,Mureș,Livezeni,,46.554913,24.661149,1.0,1.0,,1309.55,,
Rabies virus (Inf. with),RABV,Dogs,,adis,MD-RABIES-2026-mgqzv,2026-04-29,Hîncesti,,,46.75445,28.34696,1.0,1.0,,1584.75,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep,,adis,GR-FMD-2026-l26d3,2026-04-29,Lesvos,Lesvos,,39.299604,26.276251,80.0,0.0,369.0,1742.41,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,RO-ASF-2026-mmpfn,2026-04-29,Mureș,Alunis,,46.88479,24.844739,1.0,1.0,,1318.69,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,RO-ASF-2026-zu5bl,2026-04-29,Mureș,Ideciu De Jos,,46.827107,24.853432,1.0,1.0,,1320.11,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,RO-ASF-2026-s07d9,2026-04-29,Mureș,Ernei,,46.593874,24.686635,3.0,3.0,,1310.87,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-l97uw,2026-04-29,Nordrhein-Westfalen,Olpe,Kirchhundem,51.025,8.19,1.0,1.0,,456.56,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-yzf43,2026-04-29,Nordrhein-Westfalen,Olpe,Kirchhundem,51.066,8.088,1.0,1.0,,460.27,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-90ze8,2026-04-29,Nordrhein-Westfalen,Olpe,Kirchhundem,51.016,8.14,1.0,1.0,,455.15,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-phdld,2026-04-29,Nordrhein-Westfalen,Siegen-Wittgenstein,Hilchenbach,51.006,8.03,1.0,1.0,,453.22,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LV-ASF-2026-194hw,2026-04-29,Saldus,Kursīšu pagasts,,56.565046,22.314116,1.0,0.0,,1474.0,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LV-ASF-2026-2zqj1,2026-04-29,Talsu,Rojas pagasts,,57.423221,22.924822,1.0,0.0,,1564.39,,
Newcastle disease virus in non-poultry for AHL,,Birds,,adis,PL-ND.NON-P-2026-bjm72,2026-04-29,Wielkopolskie,Środa Wielkopolska,Środa Wielkopolska,,,41.0,31.0,41.0,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,EE-ASF-2026-ou2l6,2026-04-29,Viljandi,Paistu,Loodi,58.253448,25.607365,5.0,5.0,,1745.46,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,AT-MTBC-2026-r4xkv,2026-04-29,Vorarlberg,Bregenz,Bildstein,47.474188,9.802846,1.0,,133.0,187.28,,
Foot and mouth disease virus (Inf. with),SAT 1,,,adis,CY-FMD-2026-h606x,2026-04-30,Larnaca,,,34.884857,33.56333,3.0,,7.0,2553.55,,
Rabies virus (Inf. with),RABV,,,adis,TR-RABIES-2026-5p0tr,2026-04-30,ŞANLIURFA,EYYÜBİYE,,36.98,39.04,1.0,1.0,,2813.24,,
Sheep pox and goat pox,,,,adis,TR-CAPRIPOX-2026-4y71a,2026-04-30,KAYSERİ,SARIOĞLAN,,,,1.0,1.0,,,,
Newcastle disease virus in non-poultry for AHL,,Columbidae (incognita),captive,adis,DE-ND.NON-P-2026-2hct9,2026-04-30,Sachsen-Anhalt,Stendal,Havelberg,,,11.0,0.0,71.0,,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-ahqxf,2026-04-30,Lubuskie,Strzelce-Drezdenko,Dobiegniew,52.959722,15.656583,1.0,1.0,,888.7,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-xac41,2026-04-30,Lubuskie,Strzelce-Drezdenko,Dobiegniew,52.959827,15.62618,2.0,2.0,,887.28,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-mzya5,2026-04-30,Podkarpackie,Przemyśl,Dubiecko,49.850334,22.341198,6.0,6.0,,1143.73,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-fgmjy,2026-04-30,Pomorskie,Gdańsk,Trąbki Wielkie,54.199877,18.569193,1.0,1.0,,1123.14,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-ujrcf,2026-04-30,Liguria,Genova,Genova,44.454404,8.90088,1.0,1.0,,299.36,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-axaqy,2026-04-30,Toscana,Massa Carrara,Podenzana,44.213914,9.945109,1.0,1.0,,360.8,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-5ix3o,2026-04-30,Toscana,Massa Carrara,Licciana Nardi,44.305003,10.057456,1.0,1.0,,357.11,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-qj3k1,2026-04-30,Toscana,Massa Carrara,Tresana,44.252378,9.888605,1.0,1.0,,354.8,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-rgtzt,2026-04-30,Toscana,Massa Carrara,Bagnone,44.369733,9.994034,1.0,1.0,,348.33,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-kruyu,2026-04-30,Emilia-Romagna,Parma,Sala Baganza,44.686091,10.20247,1.0,1.0,,329.87,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-nca01,2026-04-30,Emilia-Romagna,Parma,Sala Baganza,44.679182,10.211919,1.0,1.0,,330.94,,
Foot and mouth disease virus (Inf. with),SAT 1,,,adis,CY-FMD-2026-2vlyg,2026-04-30,Larnaca,,,35.036298,33.554676,5.0,,188.0,2542.24,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-zo5pb,2026-04-30,Mazowieckie,Lipsko,Rzeczniów,51.089618,21.314747,1.0,1.0,,1108.89,,
Lumpy skin disease virus (Inf. with),,Cattle,,adis,IT-LSD-2026-ju4hy,2026-04-30,Sardegna,Sud Sardegna,Muravera,39.327033,9.528746,1.0,0.0,9.0,863.99,,
Lumpy skin disease virus (Inf. with),,Cattle,,adis,IT-LSD-2026-9n2i7,2026-04-30,Sardegna,Sud Sardegna,Muravera,39.34033,9.580391,18.0,0.0,20.0,863.36,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-1q97c,2026-04-30,Panevezio,Panevėžio,,55.808089,24.171307,1.0,1.0,,1515.51,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-h3c82,2026-04-30,Panevezio,Panevėžio,,55.802861,24.162114,1.0,1.0,,1514.71,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-5htxu,2026-04-30,Panevezio,Panevėžio,,55.778068,24.158076,1.0,1.0,,1512.98,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-p0jx6,2026-04-30,Panevezio,Panevėžio,,55.79118,24.163196,1.0,1.0,,1514.05,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-ah1mf,2026-04-30,Panevezio,Panevėžio,,55.791512,24.147024,1.0,1.0,,1513.23,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-41nu3,2026-04-30,Panevezio,Panevėžio,,55.781607,24.154944,5.0,5.0,,1513.03,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-pjfwb,2026-04-30,Panevezio,Panevėžio,,55.48883,24.207882,1.0,1.0,,1498.14,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-s5te4,2026-04-30,Panevezio,Panevėžio,,55.485021,24.194279,1.0,1.0,,1497.19,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-6xxf1,2026-04-30,Panevezio,Panevėžio,,55.512299,24.221547,1.0,1.0,,1500.26,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-05jvk,2026-04-30,Panevezio,Panevėžio,,55.48526,24.211564,1.0,1.0,,1498.12,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-s28id,2026-04-30,Panevezio,Panevėžio,,55.671651,24.048769,5.0,5.0,,1500.75,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-l5ntm,2026-04-30,Šiauliai,Šiaulių,,56.049666,23.061152,1.0,,,1474.42,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LV-ASF-2026-2fm7z,2026-04-30,Dienvidkurzemes,Vaiņodes pagasts,,56.382663,21.835748,1.0,0.0,,1438.49,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LV-ASF-2026-33w7l,2026-04-30,Dobeles,Zebrenes pagasts,,56.59314,23.010599,1.0,0.0,,1508.93,,
HPAI(NON-P) in Wild Birds,H5N1,Anser caerulescens,wild,adis,BE-HPAI(NON-P)-2026-nea9n,2026-04-30,Wallonie,Hainaut,Mons,50.376401,4.014259,1.0,1.0,,456.95,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-l0avr,2026-04-30,Sachsen,Görlitz,Markersdorf,51.152,14.842,1.0,0.0,,712.78,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-emx0i,2026-04-30,Sachsen,Görlitz,Markersdorf,51.15,14.85,1.0,1.0,,713.08,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-bx7ng,2026-04-30,Panevezio,Panevėžio,,55.787667,24.157041,3.0,3.0,,1513.51,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-yszqo,2026-04-30,Panevezio,Panevėžio,,55.778194,24.174804,1.0,1.0,,1513.86,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-1irh5,2026-04-30,Panevezio,Panevėžio,,55.785892,24.155687,1.0,1.0,,1513.33,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-3ma6c,2026-04-30,Šiauliai,Radviliškio,,55.761911,23.890986,4.0,4.0,,1498.08,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-u52qi,2026-04-30,Panevezio,Panevėžio,,55.497869,24.195788,1.0,1.0,,1498.03,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-icoec,2026-04-30,Panevezio,Panevėžio,,55.497144,24.205326,1.0,1.0,,1498.5,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-yl90j,2026-04-30,Panevezio,Panevėžio,,55.499006,24.22245,1.0,1.0,,1499.52,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-tbf7m,2026-04-30,Panevezio,Panevėžio,,55.514907,24.228111,1.0,1.0,,1500.77,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-azmx1,2026-04-30,Panevezio,Panevėžio,,55.5031,24.183766,1.0,1.0,,1497.7,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-54lou,2026-04-30,Panevezio,Panevėžio,,55.533466,24.238088,1.0,1.0,,1502.4,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-mpvwr,2026-04-30,Panevezio,Panevėžio,,55.544175,24.224906,3.0,3.0,,1502.34,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-08ytl,2026-04-30,Panevezio,Panevėžio,,55.523768,24.246191,1.0,1.0,,1502.25,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-wxpvg,2026-04-30,Panevezio,Pasvalio,,56.144584,24.374114,1.0,1.0,,1546.84,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-bwyjt,2026-04-30,Panevezio,Pasvalio,,56.132895,24.397976,1.0,1.0,,1547.34,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-1nesq,2026-04-30,Panevezio,Pasvalio,,56.167761,24.420446,1.0,1.0,,1550.67,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-f71mr,2026-04-30,Panevezio,Panevėžio,,55.686725,24.00729,4.0,4.0,,1499.5,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-khvts,2026-04-30,Panevezio,Panevėžio,,55.647831,24.022864,1.0,1.0,,1497.94,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-ktbia,2026-04-30,Panevezio,Panevėžio,,55.810785,24.175842,1.0,1.0,,1515.91,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-ua3zu,2026-04-30,Panevezio,Panevėžio,,55.786173,24.143658,1.0,1.0,,1512.72,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-c1na1,2026-04-30,Panevezio,Panevėžio,,55.804849,24.160455,1.0,1.0,,1514.75,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-h79td,2026-04-30,Panevezio,Panevėžio,,55.779575,24.164918,1.0,1.0,,1513.43,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-s6nxf,2026-04-30,Panevezio,Panevėžio,,55.793144,24.177718,1.0,1.0,,1514.93,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-z99o0,2026-04-30,Panevezio,Pasvalio,,56.19576,24.418127,1.0,1.0,,1552.3,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-ag80h,2026-04-30,Panevezio,Panevėžio,,55.679412,24.071676,2.0,2.0,,1502.43,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-2hffa,2026-04-30,Panevezio,Panevėžio,,55.68996,24.06574,2.0,2.0,,1502.76,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-gp45w,2026-04-30,Panevezio,Panevėžio,,55.642801,24.081322,1.0,1.0,,1500.7,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-u8hbr,2026-04-30,Panevezio,Panevėžio,,55.693084,24.040304,4.0,4.0,,1501.62,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-ogrih,2026-04-30,Panevezio,Panevėžio,,55.692593,24.052388,1.0,1.0,,1502.22,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-497qv,2026-04-30,Panevezio,Panevėžio,,55.816696,24.169084,1.0,1.0,,1515.92,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-7b8dz,2026-04-30,Panevezio,Panevėžio,,55.815532,24.166444,1.0,1.0,,1515.71,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-5yejn,2026-04-30,Panevezio,Panevėžio,,55.66671,24.038024,5.0,5.0,,1499.89,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-0w0kr,2026-04-30,Panevezio,Panevėžio,,55.671105,24.032536,3.0,3.0,,1499.87,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,LT-ASF-2026-sxgp6,2026-04-30,Panevezio,Panevėžio,,55.638679,24.029956,2.0,2.0,,1497.75,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep,,adis,GR-FMD-2026-kpakf,2026-04-30,Lesvos,Lesvos,,39.168471,26.007326,87.0,0.0,347.0,1732.1,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep,,adis,GR-FMD-2026-dj8h0,2026-04-30,Lesvos,Lesvos,,39.102686,26.103031,35.0,0.0,49.0,1743.07,,
Foot and mouth disease virus (Inf. with),SAT 1,Sheep,,adis,GR-FMD-2026-w4hs5,2026-04-30,Lesvos,Lesvos,,39.254424,26.07099,90.0,0.0,450.0,1730.95,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-z4w5l,2026-04-30,Nordrhein-Westfalen,Olpe,Kirchhundem,51.03,8.09,1.0,0.0,,456.31,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-75gus,2026-04-30,Nordrhein-Westfalen,Olpe,Kirchhundem,51.03,8.09,1.0,1.0,,456.31,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-zvt1z,2026-04-30,Nordrhein-Westfalen,Siegen-Wittgenstein,Hilchenbach,51.0,8.03,1.0,1.0,,452.56,,
Sheep pox and goat pox,,Sheep/goats (mixed herd),,adis,RO-CAPRIPOX-2026-umntg,2026-04-30,Mureș,Vatava,,46.97801,24.812251,248.0,16.0,248.0,1315.07,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,AT-MTBC-2026-j2zj3,2026-04-30,Vorarlberg,Bludenz,Bludenz,47.140335,9.863683,1.0,,49.0,184.32,,
A.S.F. in domestic pigs,,Swine,,adis,RO-ASF-2026-wzwvy,2026-04-30,Satu Mare,Paulesti,,47.718393,22.919761,3.0,1.0,3.0,1167.19,,
Sheep pox and goat pox,,Sheep,,adis,GR-CAPRIPOX-2026-d7woz,2026-04-30,Aitoloakarnania,Agrinio,,38.65186,21.46509,2.0,0.0,95.0,1465.53,,
HPAI(NON-P) in Wild Birds,H5N1,Buteo buteo,wild,adis,DK-HPAI(NON-P)-2026-gvgxk,2026-05-01,Veterinary Inspection Unit East,Gribskov,,56.115711,12.377316,1.0,1.0,,1074.24,,
HPAI(NON-P) in Wild Birds,H5N1,Buteo buteo,wild,adis,DK-HPAI(NON-P)-2026-htwzi,2026-05-01,Veterinary Inspection Unit East,Holbæk,,55.63,11.6312,1.0,1.0,,1007.82,,
HPAI(NON-P) in Wild Birds,H5N1,Accipiter gentilis,wild,adis,DK-HPAI(NON-P)-2026-cvaly,2026-05-01,Veterinary Inspection Unit East,Hillerød,,55.858113,12.200292,1.0,1.0,,1043.56,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-98c6e,2026-05-01,Nordrhein-Westfalen,Siegen-Wittgenstein,Netphen,50.88,8.17,1.0,1.0,,440.39,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-jbmif,2026-05-01,Nordrhein-Westfalen,Siegen-Wittgenstein,Bad Berleburg,51.078,8.32,1.0,1.0,,463.61,,
High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Birds,poultry,adis,PL-HPAI(P)-2026-b224l,2026-05-02,Wielkopolskie,Ostrów Wielkopolski,Raszków,51.717915,17.757357,663590.0,480.0,663590.0,914.84,,
HPAI(NON-P) in Wild Birds,H5N1,Anser anser,wild,adis,DE-HPAI(NON-P)-2026-nbc5q,2026-05-04,Nordrhein-Westfalen,Rhein-Sieg-Kreis,Rheinbach,50.62,6.93,1.0,1.0,,410.06,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-v91ns,2026-05-04,Pyrénées-Atlantiques,,,,,2.0,,103.0,,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-3w7xc,2026-05-04,Pyrénées-Atlantiques,,,,,1.0,,70.0,,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-yb8vu,2026-05-04,Pyrénées-Atlantiques,,,,,1.0,,82.0,,,
Mycobacterium tuberculosis complex (Inf. with)(2019-),,Cattle,,adis,FR-MTBC-2026-z082o,2026-05-04,Orne,,,,,1.0,,293.0,,,
Rabies virus (Inf. with),RABV,,,adis,TR-RABIES-2026-n08yg,2026-05-04,KARS,ARPAÇAY,,40.8,43.46,1.0,1.0,,2938.77,,
Rabies virus (Inf. with),RABV,,,adis,TR-RABIES-2026-skqe5,2026-05-04,KARS,ARPAÇAY,,40.81,43.42,1.0,1.0,,2935.25,,
Rabies virus (Inf. with),RABV,,,adis,TR-RABIES-2026-jjf5k,2026-05-04,BATMAN,BATMAN,,37.73,41.42,1.0,1.0,,2946.81,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-dtgai,2026-05-04,Pest,Szentendre,,47.790914,19.073093,1.0,1.0,,879.68,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-xffnr,2026-05-04,Pest,Szob,,48.020618,18.918275,1.0,1.0,,869.36,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,HU-ASF-2026-azbmw,2026-05-04,Komárom-Esztergom,Tatabánya,,47.560196,18.503996,1.0,,,836.54,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,DE-ASF-2026-k4q1k,2026-05-04,Nordrhein-Westfalen,Hochsauerlandkreis,Schmallenberg,51.11,8.32,1.0,1.0,,467.14,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-dwhd5,2026-05-04,Podkarpackie,Rzeszów,Hyżne,49.942103,22.213873,1.0,1.0,,1136.73,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-ckbfj,2026-05-04,Podkarpackie,Przeworsk,Jawornik Polski,49.874226,22.302825,1.0,1.0,,1141.53,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-ej756,2026-05-04,Podkarpackie,Przeworsk,Jawornik Polski,49.925052,22.358496,3.0,3.0,,1146.52,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-x3ltk,2026-05-04,Podkarpackie,Przeworsk,Jawornik Polski,49.903899,22.267304,1.0,1.0,,1139.66,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-xphbt,2026-05-04,Podkarpackie,Przemyśl,Dubiecko,49.854021,22.357575,1.0,1.0,,1144.96,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,PL-ASF-2026-li5lx,2026-05-04,Podkarpackie,Przemyśl,Dubiecko,49.839788,22.336237,1.0,1.0,,1143.17,,
HPAI(NON-P) in Wild Birds,H5N1,Cygnus olor,wild,adis,DE-HPAI(NON-P)-2026-06u4a,2026-05-04,Bayern,Straubing-Bogen,Kirchroth,48.93,12.51,1.0,1.0,,436.66,,
HPAI(NON-P) in Wild Birds,H5N1,Cygnus olor,wild,adis,DE-HPAI(NON-P)-2026-r2v03,2026-05-04,Bayern,Straubing-Bogen,Schwarzach,48.825,12.803,1.0,1.0,,450.46,,
HPAI(NON-P) in Wild Birds,H5N1,Branta bernicla,wild,adis,DE-HPAI(NON-P)-2026-rjp9s,2026-05-04,Niedersachsen,Aurich,Norden,53.58,7.16,1.0,1.0,,737.73,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-30fmz,2026-05-04,Emilia-Romagna,Parma,Medesano,44.721733,10.060212,1.0,1.0,,319.73,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-0cvft,2026-05-04,Emilia-Romagna,Parma,Medesano,44.685497,10.073596,1.0,1.0,,323.56,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-1a5y1,2026-05-04,Emilia-Romagna,Parma,Medesano,44.73772,10.061476,1.0,1.0,,318.4,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-or3q1,2026-05-04,Emilia-Romagna,Reggio Nell'Emilia,Collagna,44.33431,10.260104,1.0,1.0,,363.65,,
A.S.F. in wild boar,,Sus scrofa,wild,adis,IT-ASF-2026-sshf1,2026-05-04,Emilia-Romagna,Parma,Medesano,44.732579,10.079157,1.0,1.0,,319.72,,
